XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
549.711267,78.516416
550.675673,76.735784
551.640078,73.631144
552.604484,70.917919
553.568890,69.835918
554.533295,70.609739
555.497701,72.887270
556.462107,76.256877
557.426513,79.694552
558.390918,82.292758
559.355324,83.797763
560.319730,84.610891
561.284136,85.924054
562.248541,87.089130
563.212947,87.271681
564.177353,88.018354
565.141758,89.299018
566.106164,89.645936
567.070570,89.379032
568.034976,89.572194
568.999381,90.061703
569.963787,90.153170
570.928193,90.291559
571.892599,90.393458
572.857004,90.319660
573.821410,90.909472
574.785816,91.233939
575.750222,90.942023
576.714627,91.283854
577.679033,91.680053
578.643439,91.740488
579.607844,92.048523
580.572250,92.229439
581.536656,92.089631
582.501062,91.949376
583.465467,91.850813
584.429873,91.779555
585.394279,91.835080
586.358685,91.990090
587.323090,91.968284
588.287496,91.694213
589.251902,91.531676
590.216307,91.646397
591.180713,91.680439
592.145119,91.419786
593.109525,91.154832
594.073930,91.018200
595.038336,90.876451
596.002742,90.810717
596.967148,90.811743
597.931553,90.719841
598.895959,90.531173
599.860365,90.246733
600.824771,89.942691
601.789176,89.658921
602.753582,89.369511
603.717988,89.126308
604.682393,88.765656
605.646799,88.210501
606.611205,87.540673
607.575611,86.719011
608.540016,85.937346
609.504422,85.316712
610.468828,84.663737
611.433234,83.884141
612.397639,83.099812
613.362045,82.358488
614.326451,81.391793
615.290857,80.212033
616.255262,79.128689
617.219668,78.048246
618.184074,76.861161
619.148479,75.674912
620.112885,74.524518
621.077291,73.330605
622.041697,72.001396
623.006102,70.788088
623.970508,69.959558
624.934914,69.463840
625.899320,69.373683
626.863725,69.754635
627.828131,70.453066
628.792537,71.236565
629.756942,71.830420
630.721348,72.187234
631.685754,72.334297
632.650160,72.133720
633.614565,71.610244
634.578971,70.891821
635.543377,70.050103
636.507783,69.244166
637.472188,68.674585
638.436594,68.512225
639.401000,68.885141
640.365406,69.790364
641.329811,71.113347
642.294217,72.725956
643.258623,74.451284
644.223028,76.175314
645.187434,77.843101
646.151840,79.355950
647.116246,80.707934
648.080651,81.895341
649.045057,82.903290
650.009463,83.777347
650.973869,84.525072
651.938274,85.162925
652.902680,85.762327
653.867086,86.354155
654.831491,86.847238
655.795897,87.195926
656.760303,87.509220
657.724709,87.825480
658.689114,88.126970
659.653520,88.448529
660.617926,88.797047
661.582332,89.158669
662.546737,89.516644
663.511143,89.843874
664.475549,90.169085
665.439955,90.536137
666.404360,90.892153
667.368766,91.228568
668.333172,91.571541
669.297577,91.811307
670.261983,91.979452
671.226389,92.206023
672.190795,92.409135
673.155200,92.549926
674.119606,92.728622
675.084012,92.921613
676.048418,93.061900
677.012823,93.182374
677.977229,93.324087
678.941635,93.477705
679.906040,93.629997
680.870446,93.759431
681.834852,93.862145
682.799258,93.955824
683.763663,94.020691
684.728069,94.049983
685.692475,94.069287
686.656881,94.082038
687.621286,94.047976
688.585692,93.981464
689.550098,93.955911
690.514504,93.940319
691.478909,93.902745
692.443315,93.862395
693.407721,93.779313
694.372126,93.651330
695.336532,93.539558
696.300938,93.459302
697.265344,93.360582
698.229749,93.235090
699.194155,93.140910
700.158561,93.093394
701.122967,93.020274
702.087372,92.899863
703.051778,92.852248
704.016184,92.882315
704.980590,92.890845
705.944995,92.885267
706.909401,92.857984
707.873807,92.808708
708.838212,92.786286
709.802618,92.818593
