XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
549.711267,77.589624
550.675673,75.213332
551.640078,72.551716
552.604484,69.600915
553.568890,68.251465
554.533295,68.750251
555.497701,70.855750
556.462107,74.922370
557.426513,78.702678
558.390918,81.037307
559.355324,83.577283
560.319730,85.718361
561.284136,86.355815
562.248541,87.082636
563.212947,88.336623
564.177353,89.388484
565.141758,90.408668
566.106164,90.806146
567.070570,90.583035
568.034976,90.767950
568.999381,91.289035
569.963787,91.789985
570.928193,92.055832
571.892599,91.838426
572.857004,91.843325
573.821410,92.361161
574.785816,92.462816
575.750222,92.481932
576.714627,92.927679
577.679033,93.027945
578.643439,92.850290
579.607844,92.720284
580.572250,92.589392
581.536656,92.606201
582.501062,92.610803
583.465467,92.622147
584.429873,92.820085
585.394279,92.969885
586.358685,93.059169
587.323090,93.139846
588.287496,92.970696
589.251902,93.007979
590.216307,93.415586
591.180713,93.081880
592.145119,92.045071
593.109525,91.576897
594.073930,91.773314
595.038336,91.956493
596.002742,91.910907
596.967148,91.734506
597.931553,91.588453
598.895959,91.524219
599.860365,91.366213
600.824771,91.009071
601.789176,90.573536
602.753582,90.269856
603.717988,90.033154
604.682393,89.591522
605.646799,89.007167
606.611205,88.385281
607.575611,87.683613
608.540016,87.031943
609.504422,86.427688
610.468828,85.636030
611.433234,84.664120
612.397639,83.660293
613.362045,82.621184
614.326451,81.658745
615.290857,80.777451
616.255262,79.695854
617.219668,78.395247
618.184074,77.045326
619.148479,75.613647
620.112885,74.062684
621.077291,72.489136
622.041697,70.913815
623.006102,69.479591
623.970508,68.377585
624.934914,67.590824
625.899320,67.339045
626.863725,67.712560
627.828131,68.411235
628.792537,69.252040
629.756942,69.953411
630.721348,70.326813
631.685754,70.435261
632.650160,70.159625
633.614565,69.415952
634.578971,68.295211
635.543377,67.037176
636.507783,65.894181
637.472188,64.992006
638.436594,64.594582
639.401000,64.859652
640.365406,65.755578
641.329811,67.286128
642.294217,69.278603
643.258623,71.462960
644.223028,73.692018
645.187434,75.881388
646.151840,77.932070
647.116246,79.746564
648.080651,81.340367
649.045057,82.803642
650.009463,84.114024
650.973869,85.204553
651.938274,86.107645
652.902680,86.918488
653.867086,87.647692
654.831491,88.261711
655.795897,88.814580
656.760303,89.332001
657.724709,89.782550
658.689114,90.183882
659.653520,90.572078
660.617926,90.948798
661.582332,91.296333
662.546737,91.655176
663.511143,92.024670
664.475549,92.341571
665.439955,92.618679
666.404360,92.862673
667.368766,93.096963
668.333172,93.376762
669.297577,93.662946
670.261983,93.898500
671.226389,94.089057
672.190795,94.292520
673.155200,94.499863
674.119606,94.652827
675.084012,94.785181
676.048418,94.916496
677.012823,95.017737
677.977229,95.134778
678.941635,95.296597
679.906040,95.420165
680.870446,95.492843
681.834852,95.590867
682.799258,95.702638
683.763663,95.780291
684.728069,95.817001
685.692475,95.827360
686.656881,95.814913
687.621286,95.786736
688.585692,95.779154
689.550098,95.777570
690.514504,95.755131
691.478909,95.705692
692.443315,95.613734
693.407721,95.527026
694.372126,95.464770
695.336532,95.382369
696.300938,95.275330
697.265344,95.162272
698.229749,95.091544
699.194155,95.058280
700.158561,95.018141
701.122967,94.989352
702.087372,94.935779
703.051778,94.864021
704.016184,94.861093
704.980590,94.892760
705.944995,94.901910
706.909401,94.907652
707.873807,94.930257
708.838212,94.936649
709.802618,94.902923
